WAKE_UP = Key1 % se#réveiller
TALK = Key1 % parler
WATCH = Key1 % regarder
DRESS_ONE = Key1 % s'habiller
DRESS = Key3 % s'habiller

CLEAN_CLOTHES = Key2 % ranger#les#vêtements
CLEAN_HAIR = Key2 % nettoyer#les#cheveux

CANDLE_LIGHT = Key2 % allumer#la#bougie
CANDLE_EXTINGUISH = Key2 % éteindre#la#bougie

FILL = Key2 % remplir
EMPTY = Key2 % vider
WASH = Key1 % se#laver
LEAVE = Key1 % sortir

TAKE = Key1 % prendre
TAKE_WATER = Key1 % se#servir
EMPTY_WATER = Key1 % vider#l'eau
WATER_PLANT = Key2 % arroser
