! -> INIT_WALL_TOILET = GOTO -> BLOCKING_PATH:FALSE, PLAYER_DISTANCE_CHECKER
$ -> PLAYER_DISTANCE_CHECKER = WAITFOR -> PLAYER_CLOSER_THAN:1 ? TALK:OBJECT*EXIT_TOILET
SELFTALKING -> OBJECT*EXIT_TOILET = GOTO -> PLAYER_DISTANCE_CHECKER

! -> WALL_TOILET_ADVICE = GOTO -> WAITFOR_GIVING_ADVICE
$ -> WAITFOR_GIVING_ADVICE = WAITFOR -> TIMER:1 ? TALK:OBJECT*EXIT_TOILET_NEXT
SELFTALKING -> OBJECT*EXIT_TOILET_NEXT = GOTO -> TP:8-19, WAITFOR_CHECK_PLAYER_OUTSIDE
$ -> WAITFOR_CHECK_PLAYER_OUTSIDE = WAITFOR -> TIMER:7 ? SOFTLOCK_CONDITIONNAL
$ -> SOFTLOCK_CONDITIONNAL = SEE -> PLAYER ? CUTSCENE:START, PLAYER_REALISATION / DELETE_MYSELF:PROCESS
$ -> PLAYER_REALISATION = GOTO -> EXPRESSION_PLAYER:SUSPENSION, FACING_PLAYER:RIGHT, WAITFOR_TALK_EXIT_TOILET_SOFTLOCK 
$ -> WAITFOR_TALK_EXIT_TOILET_SOFTLOCK = WAITFOR -> TIMER:2 ? TALK:OBJECT*EXIT_TOILET_SOFTLOCK
SELFTALKING -> OBJECT*EXIT_TOILET_SOFTLOCK = WAITFOR -> TIMER:2 ? TALK:OBJECT*EXIT_TOILET_SOFTLOCK_NEXT
SELFTALKING -> OBJECT*EXIT_TOILET_SOFTLOCK_NEXT = END_LVL -> GAME_OVER, PROCESS
