TIME -> 0 = GOTO -> NAME:REBECCA


//// STATE ////

! -> DISGUISE = MEMORY -> CAPLESS ? NAME:REBECCA_POLICE_CAPLESS, TALK:OBJECT*DISGUISE / NAME:REBECCA_POLICE, TALK:OBJECT*DISGUISE


//// MOVE ////

! -> STOP_PLAYER = MOVE -> STOP
! -> MOVE_PLAYER_TO_SINK = WAITFOR -> MOVE:33-47 ? FACING:UP, DISPLAY_SINK, AFFECTING:OBJ-03*PLAYER_REACHED_SINK
$ -> DISPLAY_SINK = DISPLAY -> 0, -14
$ -> DISPLAY_SIT = DISPLAY -> 0, -1
! -> DISPLAY_PLAYER_NORMAL = DISPLAY -> 0, 0

! -> LEAVE_MIAOUSS_DESK = CONDITION -> SIT ? AFFECTING:PLAYER*LEAVE_MIAOUSS_COMPUTER, MOVE:14-44 / MOVE:14-44
TALKED -> POLICEMAN*PLAYER_SPOTTED_MIAOUSS_IN_CORRIDOR = WAITFOR -> TIMER:1 ? SLOW:25-44
GOAL -> 14-44 = GOTO -> FACING:LEFT, AFFECTING:MIAOUSS*PLAYER_LEFT_MIAOUSS_DESK
! -> SAT_ON_MIAOUSS_COMPUTER = GOTO -> FACING:RIGHT, CONDITION:SIT, SOUND:JUMP, DISPLAY_SIT, TP:9-44
! -> LEAVE_MIAOUSS_COMPUTER = CONDITION -> SIT ? FACING:DOWN, CONDITION:GOOD, SOUND:JUMP, DISPLAY_NORMAL, TP:9-45 / NULL
! -> MOVE_UNDER_VENT = MOVE -> 17-48
GOAL -> 17-48 = WAITFOR -> TIMER:1 ? AFFECTING:OBJ-19*PLAYER_REACHED_UNDER_VENT
! -> TP_VENT = TP -> 16-48


//// CHANGING ROOM & FUTHER ////

! -> CREATE_SHOVEL = CREATE -> ONTHESPOT-BACK:4-1-255


//// RESTROOM ////

TALKED -> OBJECT*BETTER_COUCHING = GOTO -> CUTSCENE:START, MOVE:12-33, WAITING_UNSIT_FROM_CHAIR
$ -> WAITING_UNSIT_FROM_CHAIR = WAITFOR -> TIMER:1 ? UNSIT_FROM_CHAIR_CONDITIONNAL
$ -> UNSIT_FROM_CHAIR_CONDITIONNAL = MEMORY -> SAT_ON_RESTROOM_STOOL_INSTEAD_OF_CHAIR ? UNSIT_FROM_STOOL / UNSIT_FROM_CHAIR
$ -> UNSIT_FROM_CHAIR = STATE_PLAYER -> 10-35,0,-8,DOWN,GOOD, SOUND:JUMP, AFFECTING:REFRESH_RESTROOM_SITS
$ -> UNSIT_FROM_STOOL = STATE_PLAYER -> 12-35,0,0,UP,GOOD, SOUND:JUMP, AFFECTING:REFRESH_RESTROOM_SITS
GOAL -> 12-33 = GOTO -> AFFECTING:OBJ-15*COUCH_SITTING, CAMERA:PLAYER_FLUID, CUTSCENE:STOP
! -> PLAYER_DRINKING = CREATE_BONUSTEXT -> ONTHESPOT,NORMAL,SLURP


//// RESTROOM ////

! -> TP_PLAYER_MIDDLE_CELL = TP -> 22-7
