///// BEDROOM /////

WAKE_UP = Key1 % se#réveiller
SEARCH_KEY = Key3 % fouiller#(clé?)
WATCH = Key1 % regarder
CANDLE_LIGHT = Key2 % allumer#la#bougie
CANDLE_EXTINGUISH = Key2 % éteindre#la#bougie
DRESS = Key2 % s'habiller
TALK = Key1 % parler
WATER_PLANT = Key2 % arroser

///// BATHROOM /////

WATER_TAKE = Key1 % se#servir
WATER_EMPTY = Key1 % vider#l'eau
FILL = Key2 % remplir
EMPTY = Key2 % vider
WASH = Key1 % se#laver
LEAVE = Key1 % sortir
CLEAN_HAIR = Key2 % nettoyer#les#cheveux
TAKE = Key1 % prendre
CLEAN_CLOTHES = Key2 % ranger#les#vetements
DO_LAUNDRY = Key2 % faire#la#lessive
DO_LAUNDRY_SHORT = Key2 % lessive
SEARCH_KEY_SHORT = Key3 % fouiller

///// TOILET /////

USE = Key1 % utiliser

///// DESK /////

PLAY = Key1 % jouer
PLAY_ANYWAY = Key1 % jouer#quand#meme
JUST_ONE_GAME = Key1 % juste#une#partie...
I_AM_WEAK = Key1 % je#suis#faible...
TAKE_GLASS = Key2 % prendre
ASK_FOR_KEY = Key3 % où#sont#mes#clés#?

///// LIVING ROOM /////

RELAX = Key1 % se#détendre
FACE_REALITY = Key1 % affronter#la#réalité
WATCH_TV = Key1 % regarder#la#TV
SIT = Key1 % s'assoir
EXIT = Key1 % sortir

///// KITCHEN /////

DO_PANCAKES = Key2 % faire#des#crepes
EAT_COOKIE = Key1 % manger#un#cookie
DRINK_JUICE = Key2 % boire#du#jus
WAIT_WHAT = Key3 % Hein#?!
TAKE_KEY = Key3 % prendre#la#clé

///// ENTRANCE /////

OPEN = Key1 % ouvrir
SEARCH = Key1 % chercher#par#soi-meme
THINK = Key2 % réflechir#(solution)
GO_TO_WORK = Key1 % aller#au#travail
BRING_SARAH = Key2 % faire#venir#sarah
JUST_A_MOMENT = Key1 % juste#une#seconde...
WHOS_THERE = Key2 % c'est#qui#?

///// SARAH /////

GREET = Key1 % saluer
HUG = Key2 % faire#un#calin
